loinc_code;loinc_display;loinc_component;loinc_property;loinc_system;loinc_scale;loinc_method;loinc_unitofmeasure;loinc_codesystem;loinc_timing
42215-4;Nucleated erythrocytes/100 cells in Bone marrow by Manual count;Erythrocytes.nucleated/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
74231-2;Erythropoiesis assessment in Bone marrow Narrative;Erythropoiesis assessment;Find;Bone mar;Nar;;;http://loinc.org;Pt
11127-8;Erythrocytes [Morphology] in Bone marrow;Erythrocytes;Morph;Bone mar;Nom;;;http://loinc.org;Pt
X099100;Giant metamielosit;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099101;Giant stab;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099102;Hipersegmentasi (> 6);;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099103;Hipogranulasi;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099104;Vakuolisasi;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099105;Anomali Pelger-Huest;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099106;Karioreksis;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099107;Sel mitosis;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099108;Sel tak dikenal;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099109;Limfosit Abnormal;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099110;Lain-lain (Hapusan sumsum tulang);;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099111;Saran;;;;Nar;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
32672-8;Cold agglutinin [Presence] in Serum or Plasma;Cold agglutinin;PrThr;Ser/Plas;Ord;;;http://loinc.org;Pt
14658-9;Cold agglutinin [Titer] in Serum or Plasma;Cold agglutinin;Titr;Ser/Plas;Qn;;{titer};http://loinc.org;Pt
58410-2;CBC panel - Blood by Automated count;Complete blood count panel;-;Bld;-;Automated count;;http://loinc.org;Pt
57021-8;CBC W Auto Differential panel - Blood;Complete blood count W Auto Differential panel;-;Bld;Qn;;;http://loinc.org;Pt
718-7;Hemoglobin [Mass/volume] in Blood;Hemoglobin;MCnc;Bld;Qn;;g/dL;http://loinc.org;Pt
20570-8;Hematocrit [Volume Fraction] of Blood;Hematocrit;VFr;Bld;Qn;;%;http://loinc.org;Pt
4544-3;Hematocrit [Volume Fraction] of Blood by Automated count;Hematocrit;VFr;Bld;Qn;Automated count;%;http://loinc.org;Pt
4545-0;Hematocrit [Volume Fraction] of Blood by Centrifugation;Hematocrit;VFr;Bld;Qn;Spun;%;http://loinc.org;Pt
31100-1;Hematocrit [Volume Fraction] of Blood by Impedance;Hematocrit;VFr;Bld;Qn;Impedance;%;http://loinc.org;Pt
26453-1;Erythrocytes [#/volume] in Blood;Erythrocytes;NCnc;Bld;Qn;;10*6/uL;http://loinc.org;Pt
790-6;Erythrocytes [#/volume] in Blood by Manual count;Erythrocytes;NCnc;Bld;Qn;Manual count;10*9/uL;http://loinc.org;Pt
789-8;Erythrocytes [#/volume] in Blood by Automated count;Erythrocytes;NCnc;Bld;Qn;Automated count;10*6/uL;http://loinc.org;Pt
30428-7;MCV [Entitic volume];Erythrocyte mean corpuscular volume;EntVol;RBC;Qn;;fL;http://loinc.org;Pt
787-2;MCV [Entitic volume] by Automated count;Erythrocyte mean corpuscular volume;EntVol;RBC;Qn;Automated count;fL;http://loinc.org;Pt
28539-5;MCH [Entitic mass];Erythrocyte mean corpuscular hemoglobin;EntMass;RBC;Qn;;pg;http://loinc.org;Pt
785-6;MCH [Entitic mass] by Automated count;Erythrocyte mean corpuscular hemoglobin;EntMass;RBC;Qn;Automated count;pg;http://loinc.org;Pt
28540-3;MCHC [Mass/volume];Erythrocyte mean corpuscular hemoglobin concentration;MCnc;RBC;Qn;;g/dL;http://loinc.org;Pt
786-4;MCHC [Mass/volume] by Automated count;Erythrocyte mean corpuscular hemoglobin concentration;MCnc;RBC;Qn;Automated count;g/dL;http://loinc.org;Pt
26464-8;Leukocytes [#/volume] in Blood;Leukocytes;NCnc;Bld;Qn;;10*3/uL;http://loinc.org;Pt
804-5;Leukocytes [#/volume] in Blood by Manual count;Leukocytes;NCnc;Bld;Qn;Manual count;10*3/uL;http://loinc.org;Pt
6690-2;Leukocytes [#/volume] in Blood by Automated count;Leukocytes;NCnc;Bld;Qn;Automated count;10*3/uL;http://loinc.org;Pt
26515-7;Platelets [#/volume] in Blood;Platelets;NCnc;Bld;Qn;;10*3/uL;http://loinc.org;Pt
778-1;Platelets [#/volume] in Blood by Manual count;Platelets;NCnc;Bld;Qn;Manual count;10*3/uL;http://loinc.org;Pt
777-3;Platelets [#/volume] in Blood by Automated count;Platelets;NCnc;Bld;Qn;Automated count;10*3/uL;http://loinc.org;Pt
X099112;Hitung jenis darah;;;Bld;;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
30180-4;Basophils/100 leukocytes in Blood;Basophils/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
707-0;Basophils/100 leukocytes in Blood by Manual count;Basophils/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
